Name MC MP
Auror 8,443,284,127 1.02%
BitMart 9,749,442,454 1.18%
Frontie 10,364,870,946 1.25%
ChainGP 9,709,705,424 1.17%
LeverF 11,000,830,534 1.33%
Constellatio 9,220,735,666 1.11%
Phoeni 10,156,457,533 1.23%
Liquity 10,286,460,893 1.24%
Orb 9,519,624,252 1.15%
Kyber 9,635,586,494 1.17%
Acala 8,837,290,389 1.07%
Solidus 8,586,932,648 1.04%
Gains 9,334,522,062 1.13%
ApeX 10,067,068,471 1.22%
Polygon 9,671,174,716 1.17%
Fort 8,165,232,841 0.99%
Zebec 8,947,514,145 1.08%
Ethernity 7,674,620,738 0.93%
XY 9,469,262,635 1.15%
Ozone 9,428,361,865 1.14%
DOD 9,608,680,298 1.16%
Secre 9,057,207,162 1.10%
ST 9,358,552,464 1.13%
Dione 8,794,117,837 1.06%
Ankr 8,984,308,958 1.09%
MediBlo 9,014,017,313 1.09%
Bounce 8,643,944,883 1.05%
Heroes 8,772,217,521 1.06%
Sovry 9,458,619,254 1.14%
Multibi 7,395,513,364 0.89%
Tokenlon 9,385,467,019 1.13%
MOBO 9,223,446,181 1.12%
Ardo 8,937,234,806 1.08%
PepeFor 8,927,045,440 1.08%
Pangoli 9,744,261,876 1.18%
Blockchain 8,995,180,546 1.09%
Burnedf 6,954,079,220 0.84%
TokenF 8,151,205,275 0.99%
Dogelon 8,758,194,349 1.06%
Huobi 8,813,940,972 1.07%
Liquit 8,507,558,850 1.03%
Orchi 8,480,356,571 1.03%
Tenso 9,251,957,629 1.12%
Velodrome 7,872,247,972 0.95%
Loom 8,633,250,674 1.04%
LUKS 7,594,112,484 0.92%
Aavegotch 8,070,621,804 0.98%
Victoria 8,344,927,437 1.01%
Stargate 8,568,674,200 1.04%
Hifi 8,478,996,581 1.03%
Entangl 5,282,636,416 0.64%
Nexer 8,223,269,230 0.99%
Erg 8,645,927,012 1.05%
MARBLE 7,975,810,796 0.96%
CUDO 8,194,098,484 0.99%
Tokamak 9,020,194,659 1.09%
Aleph.i 7,611,327,401 0.92%
Maverick 7,950,351,985 0.96%
Radiant 8,173,597,009 0.99%
Stell 8,299,365,253 1.00%
USDX 8,379,498,723 1.01%
Banco 8,215,812,579 0.99%
Bazaar 7,929,721,207 0.96%
Shent 7,806,470,351 0.94%
Energy 8,112,790,712 0.98%
Bifros 7,437,883,329 0.90%
OMG 7,788,078,200 0.94%
Everscal 8,145,140,655 0.98%
Spell 7,740,940,101 0.94%
NK 7,386,846,818 0.89%
Automata 7,384,938,100 0.89%
Gemini 7,683,915,275 0.93%
Gearbox 8,425,355,051 1.02%
Polymat 7,569,642,206 0.92%
L 6,555,794,013 0.79%
Radwork 7,832,011,416 0.95%
HarryPotterObamaSonic10Inu 11,389,551,663 1.38%
Blendr 5,547,873,662 0.67%
Cream 7,253,371,648 0.88%
Banana 6,628,660,909 0.80%
Wazir 6,954,182,542 0.84%
LooksRar 7,425,175,030 0.90%
Verg 8,596,675,826 1.04%
Wrapped 7,137,281,278 0.86%
GamerCoi 8,617,928,604 1.04%
MAP 6,983,902,829 0.84%
Origin 6,744,488,541 0.82%
ARP 8,096,762,154 0.98%
XPL 7,227,761,484 0.87%
SuperRar 7,982,735,653 0.97%
Badger 7,401,621,569 0.90%
Trias 8,017,547,345 0.97%
PaLM 5,560,277,726 0.67%
Uquid 6,496,961,541 0.79%
Mines 6,960,375,076 0.84%
Carr 5,706,027,475 0.69%
QuarkChai 7,094,214,141 0.86%
LTO 6,673,588,754 0.81%
REI 6,426,657,458 0.78%
MEMETOO 7,235,935,393 0.87%
